,source,target,color,width,color_rgb,color_alpha
0,Arx,Exoc6b,#e051f71a,1.0091128674216885,#e051f7,200.0
1,Arx,Ralgps2,#e051f71a,1.0040757211138078,#e051f7,200.0
2,Arx,Usp7,#e051f71a,1.0082059631895224,#e051f7,200.0
3,Arx,Uqcr11,#e051f71a,1.0061551343554065,#e051f7,200.0
4,Arx,Spire1,#e051f71a,1.0022825358192264,#e051f7,200.0
5,Atf4,Pxk,#6620af1a,1.000488811835205,#6620af,200.0
6,Chd2,Dazap1,#f4463d1a,1.0088226623911658,#f4463d,200.0
7,Chd2,Kif21a,#f4463d1a,1.0470837401959352,#f4463d,200.0
8,Chd2,Sox6,#f4463d1a,1.0051043757025804,#f4463d,200.0
9,Chd2,Fzd3,#f4463d1a,1.0082702709853848,#f4463d,200.0
10,Chd2,Afg3l1,#f4463d1a,1.0069194395391003,#f4463d,200.0
11,Chd2,Sugt1,#f4463d1a,1.0191254592901782,#f4463d,200.0
12,Chd2,Ptprz1,#f4463d1a,1.0043099956006896,#f4463d,200.0
13,Chd2,Anapc5,#f4463d1a,1.0189866523819755,#f4463d,200.0
14,Chd2,Sox2,#f4463d1a,1.007814023085805,#f4463d,200.0
15,Chd2,Grsf1,#f4463d1a,1.0019714712411552,#f4463d,200.0
16,Chd2,Usp1,#f4463d1d,1.0559237835631778,#f4463d,200.72052401746723
17,Chd2,Gcc2,#f4463d1a,1.0032012639209111,#f4463d,200.0
18,Chd2,Fnbp4,#f4463d1a,1.007414883307226,#f4463d,200.0
19,Chd2,Pdia4,#f4463d1a,1.0040087709132681,#f4463d,200.0
20,Chd2,Trp53,#f4463d1a,1.008155379784767,#f4463d,200.0
21,Chd2,Spire1,#f4463d1a,1.007087144123686,#f4463d,200.0
22,Chd2,Syne2,#f4463d1a,1.019022450660895,#f4463d,200.0
23,Chd2,Arhgap21,#f4463d1a,1.0101226985031508,#f4463d,200.0
24,Chd2,Acadm,#f4463d1a,1.002267419088567,#f4463d,200.0
25,Chd2,Ptpn13,#f4463d1a,1.0230862693563694,#f4463d,200.0
26,Cnot3,Afg3l1,#e14eb11a,1.0034797103815554,#e14eb1,200.0
27,Cnot3,Smdt1,#e14eb11a,1.006349641252872,#e14eb1,200.0
28,Cnot3,Actr2,#e14eb11a,1.009040251815482,#e14eb1,200.0
29,Cnot3,Fzd3,#e14eb11a,1.0037744237588044,#e14eb1,200.0
30,Cnot3,Apc2,#e14eb11a,1.0031502559646657,#e14eb1,200.0
31,Cnot3,Hmg20b,#e14eb11a,1.0026730545614737,#e14eb1,200.0
32,Cnot3,Rev1,#e14eb11a,1.0028397123375088,#e14eb1,200.0
33,Cnot3,Pdia4,#e14eb11a,1.0113856707300708,#e14eb1,200.0
34,Cnot3,Sox9,#e14eb11a,1.0057779351630032,#e14eb1,200.0
