label,group,color,size,shape,font_size,font_color,color_rgb,color_alpha,font_color_rgb,font_color_alpha
Zfp148,TF,#8096ddd5,30,ellipse,20.0,#000000ff,#8096dd,244.9126637554590,#000000,255
Sox4,TF,#2dff05e4,30,ellipse,20.0,#000000ff,#2dff05,248.51528384279500,#000000,255
Phf20,TF,#fa823fd1,30,ellipse,20.0,#000000ff,#fa823f,243.95196506550200,#000000,255
Atf4,TF,#6620afd1,30,ellipse,20.0,#000000ff,#6620af,243.95196506550200,#000000,255
Tead4,TF,#d7e11acd,30,ellipse,20.0,#000000ff,#d7e11a,242.99126637554600,#000000,255
Ep300,TF,#6ef24bd4,30,ellipse,20.0,#000000ff,#6ef24b,244.67248908296900,#000000,255
Tcf3,TF,#c6b698d9,30,ellipse,20.0,#000000ff,#c6b698,245.87336244541500,#000000,255
Eomes,TF,#4df730c9,30,ellipse,20.0,#000000ff,#4df730,242.03056768559000,#000000,255
Zfp354a,TF,#5ba603cb,30,ellipse,20.0,#000000ff,#5ba603,242.51091703056800,#000000,255
Zbtb20,TF,#ad7813d2,30,ellipse,20.0,#000000ff,#ad7813,244.19213973799100,#000000,255
En2,TF,#2a7a74cc,30,ellipse,20.0,#000000ff,#2a7a74,242.75109170305700,#000000,255
Nfyc,TF,#f025e2ce,30,ellipse,20.0,#000000ff,#f025e2,243.23144104803500,#000000,255
Lhx5,TF,#a1fc65ca,30,ellipse,20.0,#000000ff,#a1fc65,242.2707423580790,#000000,255
Nfe2l1,TF,#ce2491d7,30,ellipse,20.0,#000000ff,#ce2491,245.3930131004370,#000000,255
Zfp202,TF,#15d669d0,30,ellipse,20.0,#000000ff,#15d669,243.71179039301300,#000000,255
Gcm1,TF,#89eeb11a,30,ellipse,20.0,#000000ff,#89eeb1,200.0,#000000,255
Ybx1,TF,#03e6bdd8,30,ellipse,20.0,#000000ff,#03e6bd,245.63318777292600,#000000,255
Chd1,TF,#6853cfd5,30,ellipse,20.0,#000000ff,#6853cf,244.9126637554590,#000000,255
Satb2,TF,#b99db8d9,30,ellipse,20.0,#000000ff,#b99db8,245.87336244541500,#000000,255
Nfic,TF,#ec96a0e2,30,ellipse,20.0,#000000ff,#ec96a0,248.03493449781700,#000000,255
Twist1,TF,#656abaf0,30,ellipse,20.0,#000000ff,#656aba,251.39737991266400,#000000,255
Hcfc1,TF,#ece712d0,30,ellipse,20.0,#000000ff,#ece712,243.71179039301300,#000000,255
Hoxb5,TF,#b70d81d9,30,ellipse,20.0,#000000ff,#b70d81,245.87336244541500,#000000,255
Zbtb12,TF,#421e9ace,30,ellipse,20.0,#000000ff,#421e9a,243.23144104803500,#000000,255
Sox1,TF,#6e8064ba,30,ellipse,20.0,#000000ff,#6e8064,238.42794759825300,#000000,255
Tlx2,TF,#5255f1dc,30,ellipse,20.0,#000000ff,#5255f1,246.5938864628820,#000000,255
Zfp398,TF,#5af1b8cf,30,ellipse,20.0,#000000ff,#5af1b8,243.47161572052400,#000000,255
Tcf4,TF,#5a1fadda,30,ellipse,20.0,#000000ff,#5a1fad,246.11353711790400,#000000,255
Taf1,TF,#3836b6d0,30,ellipse,20.0,#000000ff,#3836b6,243.71179039301300,#000000,255
Sox3,TF,#57a5dacc,30,ellipse,20.0,#000000ff,#57a5da,242.75109170305700,#000000,255
