,source,target,color,width,color_rgb,color_alpha
0,Dlx1,Nrxn3,#a1fc651a,1.0129382212510654,#a1fc65,200.0
1,Dlx1,Igfbpl1,#a1fc651a,1.0146834042561401,#a1fc65,200.0
2,Dlx1,Draxin,#a1fc651a,1.0335791932663647,#a1fc65,200.0
3,Dlx1,Nnat,#a1fc651a,1.0162007495556211,#a1fc65,200.0
4,Dlx1,Zbtb20,#a1fc6524,1.0679515440602312,#a1fc65,202.4017467248908
5,Dlx1,Ccnd2,#a1fc652e,1.0867144277653276,#a1fc65,204.80349344978166
6,Dlx1,Mki67,#a1fc651a,1.0024559274019194,#a1fc65,200.0
7,Dlx1,Btg1,#a1fc651a,1.0163483267239133,#a1fc65,200.0
8,Dlx1,Dlx1,#a1fc652f,1.0896050982371754,#a1fc65,205.04366812227073
9,Dlx1,Chd7,#a1fc651a,1.0084385695671563,#a1fc65,200.0
10,Dlx1,Mex3a,#a1fc651a,1.0242057175927752,#a1fc65,200.0
11,Dlx1,Zfp704,#a1fc651a,1.0064064382396634,#a1fc65,200.0
12,Dlx1,Pou2f1,#a1fc651a,1.007245558612673,#a1fc65,200.0
13,Dlx1,Msi2,#a1fc651a,1.0118484445049023,#a1fc65,200.0
14,Dlx1,Syne2,#a1fc651a,1.0057446568379629,#a1fc65,200.0
15,Dlx1,Dgkg,#a1fc651a,1.0023642868509168,#a1fc65,200.0
16,Dlx1,Son,#a1fc651a,1.005143710215992,#a1fc65,200.0
17,Dlx1,Cenpf,#a1fc651a,1.0074274186796095,#a1fc65,200.0
18,Dlx1,Top2a,#a1fc651a,1.0425823267850403,#a1fc65,200.0
19,Dlx1,Pax6,#a1fc651a,1.0025290366795632,#a1fc65,200.0
20,Dlx1,Hist1h2an,#a1fc651a,1.0025967928048611,#a1fc65,200.0
21,Klf13,Mal,#ec47891a,1.0369628813253309,#ec4789,200.0
22,Klf13,Syt11,#ec47891a,1.0184342161830484,#ec4789,200.0
23,Klf13,Ptn,#ec47891a,1.0141133619832896,#ec4789,200.0
24,Klf13,Tspan2,#ec47891a,1.009707701576614,#ec4789,200.0
25,Klf13,Scd2,#ec47891a,1.005247590984577,#ec4789,200.0
26,Klf13,Hmgcs1,#ec47891a,1.0212312072606682,#ec4789,200.0
27,Klf13,Mobp,#ec47891a,1.0241692909577793,#ec4789,200.0
28,Klf13,Plp1,#ec478923,1.0653114311404377,#ec4789,202.16157205240174
29,Klf13,Klf13,#ec478923,1.06531146481263,#ec4789,202.16157205240174
30,Klf13,Trf,#ec47891a,1.0205870996729116,#ec4789,200.0
31,Klf13,Cldn11,#ec47891a,1.028422149810531,#ec4789,200.0
32,Klf13,Fth1,#ec47891a,1.0111940507064088,#ec4789,200.0
33,Klf13,Cnp,#ec47891a,1.0024412175020807,#ec4789,200.0
34,Klf13,Mag,#ec47891a,1.0303545802950234,#ec4789,200.0
35,Klf13,Enpp2,#ec47891a,1.02037400198256,#ec4789,200.0
36,Klf13,Car2,#ec47891a,1.004850514279169,#ec4789,200.0
37,Mef2c,Basp1,#d7e11a1a,1.0390788227770298,#d7e11a,200.0
38,Mef2c,Fbxw7,#d7e11a39,1.1082729391393136,#d7e11a,207.44541484716157
39,Mef2c,Atp2b2,#d7e11a22,1.0631281983291807,#d7e11a,201.92139737991266
40,Mef2c,Enc1,#d7e11a1a,1.037444927104338,#d7e11a,200.0
41,Mef2c,Camk2n1,#d7e11a77,1.2320393714412428,#d7e11a,222.33624454148472
42,Mef2c,Slc17a7,#d7e11a27,1.072836234288282,#d7e11a,203.12227074235807
43,Mef2c,Tspan5,#d7e11a1a,1.02143722897461,#d7e11a,200.0
44,Mef2c,Olfm1,#d7e11a39,1.1087959674398817,#d7e11a,207.44541484716157
45,Mef2c,Chgb,#d7e11a1a,1.0237283657290883,#d7e11a,200.0
46,Mef2c,Dlgap1,#d7e11a32,1.0945699249968466,#d7e11a,205.764192139738
47,Mef2c,Camk2a,#d7e11a51,1.155713765704464,#d7e11a,213.20960698689956
48,Mef2c,Lars2,#d7e11a1a,1.0396296088061265,#d7e11a,200.0
49,Mef2c,Atp1b1,#d7e11a2d,1.0847886980918442,#d7e11a,204.56331877729258
50,Mef2c,Strbp,#d7e11a1a,1.0376016842172098,#d7e11a,200.0
51,Mef2c,Kalrn,#d7e11a1a,1.0365890093288197,#d7e11a,200.0
52,Mef2c,Napb,#d7e11a20,1.0594862756941419,#d7e11a,201.44104803493448
53,Mef2c,Csmd2,#d7e11a1a,1.0154193062860084,#d7e11a,200.0
54,Mef2c,Nrn1,#d7e11a1a,1.0359510942146486,#d7e11a,200.0
55,Mef2c,Mef2c,#d7e11a8a,1.2682581123852312,#d7e11a,226.89956331877727
56,Mef2c,Kcnma1,#d7e11a1a,1.0140801628713536,#d7e11a,200.0
57,Mef2c,Hivep2,#d7e11a1a,1.025215360213428,#d7e11a,200.0
58,Mef2c,Cck,#d7e11a1a,1.0366244997153917,#d7e11a,200.0
59,Mef2c,Lingo1,#d7e11a1a,1.0228516408562722,#d7e11a,200.0
60,Mef2c,Rbfox3,#d7e11a1a,1.0158320846945943,#d7e11a,200.0
61,Mef2c,Pcsk2,#d7e11a1a,1.0483984203159769,#d7e11a,200.0
62,Mef2c,Atp1a1,#d7e11a51,1.1561527878515365,#d7e11a,213.20960698689956
63,Mef2c,Snap25,#d7e11a3d,1.1162290293169344,#d7e11a,208.4061135371179
64,Mef2c,Nptxr,#d7e11a1a,1.0438623829153009,#d7e11a,200.0
65,Mef2c,Syt1,#d7e11a4e,1.151398927075384,#d7e11a,212.4890829694323
66,Mef2c,Negr1,#d7e11a1a,1.0148458262027487,#d7e11a,200.0
67,Mef2c,Nfix,#d7e11a1a,1.0436140515970536,#d7e11a,200.0
68,Mef2c,Calm1,#d7e11a3a,1.1109776059555647,#d7e11a,207.68558951965065
69,Mef2c,Grin2b,#d7e11a1e,1.0551510750549258,#d7e11a,200.96069868995633
70,Mef2c,Nav3,#d7e11a1a,1.01431383611884,#d7e11a,200.0
71,Mef2c,Neurod2,#d7e11a1a,1.0383282277883186,#d7e11a,200.0
72,Mef2c,Nefl,#d7e11a1a,1.024563889294134,#d7e11a,200.0
73,Mef2c,Ncald,#d7e11a1a,1.0204413918375872,#d7e11a,200.0
74,Mef2c,Nrxn2,#d7e11a1a,1.0444396057113994,#d7e11a,200.0
75,Mef2c,Oxr1,#d7e11a1a,1.0374091065206017,#d7e11a,200.0
76,Mef2c,Clstn1,#d7e11a1a,1.0365629053678997,#d7e11a,200.0
77,Mef2c,R3hdm1,#d7e11a1b,1.050656504424955,#d7e11a,200.24017467248908
78,Mef2c,Rtn1,#d7e11a28,1.0753285262789927,#d7e11a,203.36244541484714
79,Mef2c,Ryr2,#d7e11a1a,1.0246065815169896,#d7e11a,200.0
80,Mef2c,Car10,#d7e11a1a,1.0217144388600148,#d7e11a,200.0
81,Mef2c,Osbpl1a,#d7e11a2a,1.0802622187783106,#d7e11a,203.84279475982532
82,Mef2c,Myo5a,#d7e11a1a,1.0286458760118267,#d7e11a,200.0
83,Mef2c,Adcy1,#d7e11a1a,1.025177677511841,#d7e11a,200.0
84,Mef2c,Rab6b,#d7e11a1a,1.0207697455478204,#d7e11a,200.0
85,Mef2c,Calm3,#d7e11a1a,1.011893654299217,#d7e11a,200.0
86,Mef2c,Nrxn1,#d7e11a3b,1.1128521962013984,#d7e11a,207.92576419213972
87,Mef2c,Nrgn,#d7e11a82,1.2528297752978492,#d7e11a,224.9781659388646
88,Meis2,Meis2,#6ef24b62,1.189672802863539,#6ef24b,217.29257641921396
89,Meis2,Bcl11b,#6ef24b4c,1.1471630395759531,#6ef24b,212.00873362445415
90,Meis2,Phactr1,#6ef24b1b,1.049141728850805,#6ef24b,200.24017467248908
91,Meis2,Scg2,#6ef24b1a,1.0170414387487368,#6ef24b,200.0
92,Meis2,Nsg1,#6ef24b1a,1.0319343336284748,#6ef24b,200.0
93,Meis2,Pde10a,#6ef24b61,1.1875006819172436,#6ef24b,217.05240174672488
94,Meis2,Cpne5,#6ef24b2c,1.0842384076780243,#6ef24b,204.32314410480348
95,Meis2,Foxp1,#6ef24b30,1.0921871828418914,#6ef24b,205.2838427947598
96,Meis2,Nrxn3,#6ef24b3c,1.114322135870644,#6ef24b,208.1659388646288
97,Meis2,Gnal,#6ef24b1b,1.0507963126823385,#6ef24b,200.24017467248908
98,Meis2,Gng7,#6ef24b62,1.1896727691913467,#6ef24b,217.29257641921396
99,Meis2,Ppp1r1b,#6ef24b30,1.0908187564824645,#6ef24b,205.2838427947598
100,Meis2,Adcy5,#6ef24b21,1.0616789808660494,#6ef24b,201.6812227074236
101,Meis2,Ppp3ca,#6ef24b1a,1.0161246904664438,#6ef24b,200.0
102,Meis2,Btg1,#6ef24b1a,1.0180270328844032,#6ef24b,200.0
103,Meis2,Pcp4l1,#6ef24b1c,1.0523970020879643,#6ef24b,200.48034934497815
104,Meis2,Gria1,#6ef24b2e,1.0877120745131732,#6ef24b,204.80349344978166
105,Meis2,Alcam,#6ef24b1a,1.0369834104552078,#6ef24b,200.0
106,Meis2,Zbtb20,#6ef24b38,1.106395692076627,#6ef24b,207.20524017467247
107,Meis2,Ric8b,#6ef24b1a,1.0168087435102424,#6ef24b,200.0
108,Meis2,Akap5,#6ef24b1a,1.0267520633612441,#6ef24b,200.0
109,Meis2,Pcp4,#6ef24b1a,1.0442276604860865,#6ef24b,200.0
110,Meis2,St8sia3,#6ef24b1a,1.030919038787038,#6ef24b,200.0
111,Meis2,Camk2b,#6ef24b1a,1.0467868996305485,#6ef24b,200.0
112,Meis2,Gpr88,#6ef24b24,1.0677779583996148,#6ef24b,202.4017467248908
113,Meis2,Srrm1,#6ef24b1a,1.0192320089302402,#6ef24b,200.0
114,Meis2,Arpp21,#6ef24b38,1.1063408611139578,#6ef24b,207.20524017467247
115,Meis2,Dgkb,#6ef24b1d,1.0533312702827984,#6ef24b,200.72052401746723
116,Meis2,Ablim2,#6ef24b1a,1.0264542905175535,#6ef24b,200.0
117,Meis2,Csmd3,#6ef24b1a,1.0161497752429633,#6ef24b,200.0
118,Meis2,Lrrc7,#6ef24b1a,1.016011666997242,#6ef24b,200.0
119,Meis2,Ryr3,#6ef24b1f,1.0571157911621396,#6ef24b,201.2008733624454
120,Meis2,Lmo7,#6ef24b2a,1.0804307264573272,#6ef24b,203.84279475982532
121,Meis2,Son,#6ef24b1a,1.0404062344127376,#6ef24b,200.0
122,Meis2,Celf5,#6ef24b1a,1.0428021375271281,#6ef24b,200.0
123,Meis2,Rgs9,#6ef24b35,1.1003679549131988,#6ef24b,206.48471615720524
124,Neurod2,Kcnj9,#ad78131a,1.011046297467257,#ad7813,200.0
125,Neurod2,Osbpl1a,#ad78131a,1.0128547133838306,#ad7813,200.0
126,Neurod2,Slc17a7,#ad78131a,1.0330131817917758,#ad7813,200.0
127,Neurod2,Dlgap1,#ad78131a,1.0227633391059785,#ad7813,200.0
128,Neurod2,Csmd2,#ad78131a,1.0107915082339074,#ad7813,200.0
129,Neurod2,Stmn2,#ad78131a,1.0247433218041009,#ad7813,200.0
130,Neurod2,Nfib,#ad78131a,1.015952648898071,#ad7813,200.0
131,Neurod2,Kcnh7,#ad78131a,1.008779233244711,#ad7813,200.0
132,Neurod2,Tspan5,#ad78131a,1.015703096251166,#ad7813,200.0
133,Neurod2,Adcy1,#ad78131a,1.0267726845511573,#ad7813,200.0
134,Neurod2,Syt1,#ad78131b,1.050352927118782,#ad7813,200.24017467248908
135,Neurod2,Pgm2l1,#ad78131a,1.009550698368139,#ad7813,200.0
136,Neurod2,Fbxw7,#ad78131a,1.0281185426952153,#ad7813,200.0
137,Neurod2,Lingo1,#ad78131a,1.0139009391847817,#ad7813,200.0
138,Neurod2,Ryr2,#ad78131a,1.0149940850296004,#ad7813,200.0
139,Neurod2,Pcsk2,#ad78131a,1.0314556621783513,#ad7813,200.0
140,Neurod2,Neurod2,#ad78132e,1.0878993706682656,#ad7813,204.80349344978166
141,Neurod2,Map1b,#ad78131a,1.02616592478011,#ad7813,200.0
142,Neurod2,Nrgn,#ad78131a,1.0387648584934166,#ad7813,200.0
143,Neurod2,Mef2c,#ad78131a,1.048511167633882,#ad7813,200.0
144,Neurod2,Slc24a2,#ad78131a,1.008780617860414,#ad7813,200.0
145,Neurod2,Snap25,#ad78131a,1.017292086894525,#ad7813,200.0
146,Neurod2,Chgb,#ad78131a,1.0107200970521648,#ad7813,200.0
147,Neurod2,Enc1,#ad78131a,1.0225649719743881,#ad7813,200.0
148,Neurod2,Napb,#ad78131a,1.0461151453268844,#ad7813,200.0
149,Neurod2,Basp1,#ad78131a,1.0124622731538935,#ad7813,200.0
150,Neurod2,Rph3a,#ad78131a,1.0208748629994349,#ad7813,200.0
151,Neurod2,Strbp,#ad78131a,1.013996882507679,#ad7813,200.0
152,Neurod2,Nrn1,#ad78131a,1.012132222074223,#ad7813,200.0
153,Neurod2,Rtn1,#ad78131a,1.0435585363982214,#ad7813,200.0
154,Neurod2,Atp1b1,#ad78131a,1.0294037578141817,#ad7813,200.0
155,Neurod2,Syp,#ad78131a,1.012614540972059,#ad7813,200.0
156,Neurod2,Nav3,#ad78131a,1.0189586732058264,#ad7813,200.0
157,Nfib,Ccnd2,#4df73025,1.0693239691319123,#4df730,202.64192139737992
158,Nfib,Tcf4,#4df7301a,1.020700414289615,#4df730,200.0
159,Nfib,Nfix,#4df7301a,1.028595722735142,#4df730,200.0
