label,group,color,size,shape,font_size,font_color,color_rgb,color_alpha,font_color_rgb,font_color_alpha
Olig2,TF,#c4216f74,30,ellipse,20.0,#000000ff,#c4216f,221.61572052401700,#000000,255
Sox2,TF,#2dff0573,30,ellipse,20.0,#000000ff,#2dff05,221.3755458515280,#000000,255
Olig1,TF,#fa823f7d,30,ellipse,20.0,#000000ff,#fa823f,223.7772925764190,#000000,255
Zbtb20,TF,#6620af55,30,ellipse,20.0,#000000ff,#6620af,214.1703056768560,#000000,255
Mef2c,TF,#d7e11adf,30,ellipse,20.0,#000000ff,#d7e11a,247.31441048034900,#000000,255
Meis2,TF,#6ef24b68,30,ellipse,20.0,#000000ff,#6ef24b,218.73362445414800,#000000,255
Foxo1,TF,#bf7a4770,30,ellipse,20.0,#000000ff,#bf7a47,220.65502183406100,#000000,255
Bcl11b,TF,#c6b69888,30,ellipse,20.0,#000000ff,#c6b698,226.41921397379900,#000000,255
Rarb,TF,#6cd8b55e,30,ellipse,20.0,#000000ff,#6cd8b5,216.33187772925800,#000000,255
Nfib,TF,#4df730d9,30,ellipse,20.0,#000000ff,#4df730,245.87336244541500,#000000,255
Klf13,TF,#ec4789a6,30,ellipse,20.0,#000000ff,#ec4789,233.6244541484720,#000000,255
Nfix,TF,#5ba603d6,30,ellipse,20.0,#000000ff,#5ba603,245.1528384279480,#000000,255
Neurod2,TF,#ad7813ff,30,ellipse,20.0,#000000ff,#ad7813,255.0,#000000,255
Zfp78,TF,#2a7a74ee,30,ellipse,20.0,#000000ff,#2a7a74,250.91703056768600,#000000,255
Sox10,TF,#2cf4697a,30,ellipse,20.0,#000000ff,#2cf469,223.05676855895200,#000000,255
Sp8,TF,#f025e21a,30,ellipse,20.0,#000000ff,#f025e2,200.0,#000000,255
Dlx1,TF,#a1fc659e,30,ellipse,20.0,#000000ff,#a1fc65,231.70305676855900,#000000,255
Tcf4,TF,#ce2491bf,30,ellipse,20.0,#000000ff,#ce2491,239.62882096069900,#000000,255
Sox4,TF,#15d66992,30,ellipse,20.0,#000000ff,#15d669,228.82096069869000,#000000,255
Pou3f1,TF,#89eeb181,30,ellipse,20.0,#000000ff,#89eeb1,224.73799126637600,#000000,255
Dgkb,Gene,#80808054,10,ellipse,10.0,#000000ff,#808080,213.9301310043670,#000000,255
Calm3,Gene,#808080b2,10,ellipse,10.0,#000000ff,#808080,236.5065502183410,#000000,255
Sirt2,Gene,#8080806f,10,ellipse,10.0,#000000ff,#808080,220.41484716157200,#000000,255
Pax6,Gene,#8080804c,10,ellipse,10.0,#000000ff,#808080,212.00873362445400,#000000,255
Syndig1l,Gene,#8080803c,10,ellipse,10.0,#000000ff,#808080,208.1659388646290,#000000,255
Cntn2,Gene,#80808090,10,ellipse,10.0,#000000ff,#808080,228.34061135371200,#000000,255
Otud7b,Gene,#8080807d,10,ellipse,10.0,#000000ff,#808080,223.7772925764190,#000000,255
Ppp1r9a,Gene,#80808074,10,ellipse,10.0,#000000ff,#808080,221.61572052401700,#000000,255
Sez6,Gene,#80808069,10,ellipse,10.0,#000000ff,#808080,218.97379912663800,#000000,255
Smpd3,Gene,#80808059,10,ellipse,10.0,#000000ff,#808080,215.13100436681200,#000000,255
Clic4,Gene,#8080805c,10,ellipse,10.0,#000000ff,#808080,215.85152838427900,#000000,255
Gsn,Gene,#8080803f,10,ellipse,10.0,#000000ff,#808080,208.88646288209600,#000000,255
Napb,Gene,#808080bc,10,ellipse,10.0,#000000ff,#808080,238.90829694323100,#000000,255
Top2a,Gene,#80808053,10,ellipse,10.0,#000000ff,#808080,213.6899563318780,#000000,255
Osbpl1a,Gene,#808080b9,10,ellipse,10.0,#000000ff,#808080,238.1877729257640,#000000,255
Unc5b,Gene,#80808044,10,ellipse,10.0,#000000ff,#808080,210.08733624454100,#000000,255
